video_id,title,channel,channel_id,publish_date,video_age_days,title_length_words,title_sentiment,category_id,category_name,view_count,like_count,comment_count,like_view_ratio_percent,comment_view_ratio_percent,region,subscriber_count
ifgwgb_RKYY,"Aavan Jaavan Song Teaser | WAR 2 | Hrithik Roshan, Kiara | Pritam, Arijit Singh, Nikhita | Amitabh B",YRF,UCbTLwN10NoCU4WDzLf1JMOA,2025-07-30T08:30:05Z,1,19,-0.7672,10,Music,5953744,58774,2011,0.9871771443313653,0.03377706532225772,IN,67300000
nb_fFj_0rq8,Avatar: Fire and Ash | Official Trailer,Avatar,UCgjxQJ6TlKqhHax8742ZMdA,2025-07-28T15:00:09Z,2,7,-0.34,24,Entertainment,14916865,438716,25339,2.9410737443826167,0.16986813247957933,IN,514000
MaFcWVzti-4,I GOT NEW ITACHI UCHIHA BUNDLE | FREE FIRE x NARUTO CHAPTER 2,Total Gaming,UC5c9VlYTSvBSCaoMu_GI6gQ,2025-07-31T04:00:18Z,0,13,0.2263,20,Gaming,1006952,123921,20346,12.306544899856199,2.020553114746284,IN,44800000
N4wK3NtVRT0,"Pardesiya - Param Sundari | Sidharth M, Janhvi K | Sachin-Jigar, Sonu Nigam, Krishnakali, Amitabh B",Universal Music India,UCye6Oz0mg46S362LwARGVcA,2025-07-30T06:42:01Z,1,16,0.0,10,Music,19073749,107588,11296,0.5640632054034055,0.05922275688958683,IN,15700000
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,UC2woPAI_KMAR25R_oezEQqw,2025-07-26T17:10:08Z,4,14,0.0,24,Entertainment,9163496,325073,9758,3.5474779494638295,0.10648774223287706,IN,902000
85xGt7E6BKo,PMWC at EWC Survival Stage D2 | English Co stream !insta,Snax Gaming,UCQfBN7Ut5TiZJAhMo_Rgfyw,2025-07-30T15:41:02Z,0,11,0.0,20,Gaming,2054832,121763,249,5.925691248724957,0.012117778971711556,IN,2090000
l9zFH9aynd4,Bujhija Re Hrudaya - Full Video l UntalentedGuy & Hiteisha l Prem Darshan l Humane Sagar l Tushar,BABU BHAI PRODUCTION,UCZrZQ8EkxRWE4BIlRv9VDVQ,2025-07-31T01:00:45Z,0,18,0.9001,24,Entertainment,353358,68264,4962,19.318651339434794,1.4042415906814054,IN,1040000
KWt9dzrc1Go,"Athadu Re-Release Trailer | Mahesh Babu, Trisha | Mani Sharma | Trivikram",Mahesh Babu,UC1EyYYYoXf_YaLkVzvJhjRQ,2025-07-30T12:33:00Z,0,12,0.0,24,Entertainment,450265,34305,1606,7.618846679177818,0.3566788446803549,IN,1650000
z_ffeZURWv0,Itachi Uchiha Bundle in Free Fire 😱 1 💎 में nahi Milega 🥴 First Gameplay & Review - Tonde Gamer,Tonde Gamer,UCD5EC8IWhOFalXtePCkhJTA,2025-07-30T10:56:41Z,1,20,-0.5994,20,Gaming,1287833,72737,3079,5.648014921189316,0.23908379424972026,IN,18100000
dRBowc83jVs,"Kingdom - Ragile Ragile Lyrical Video | Vijay Deverakonda, Bhagyashrii | Anirudh Ravichander |Gowtam",Aditya Music,UCNApqoVYJbYSrni4YsbXzyQ,2025-07-29T04:39:06Z,2,14,0.0,10,Music,2061742,97641,2355,4.735849587387753,0.1142237971579373,IN,35500000
